model,dataset,t0_p,t1_p,t2_p,t3_p,t0_sng,t1_sng,t2_sng,t3_sng,n_single,t0_uniq,t1_uniq,t2_uniq,t3_uniq,n_unique
qwen3-4b,hotpotqa,0.353515625,0.341796875,0.34375,0.3411458333333333,0.26108374384236455,0.270935960591133,0.26108374384236455,0.20689655172413793,203,0.25929614873838,0.24867197875166017,0.2566401062417001,0.23539176626826044,251
qwen3-8b,hotpotqa,0.2858072916666667,0.2864583333333333,0.287109375,0.28515625,0.24342105263157895,0.26973684210526316,0.2236842105263158,0.2631578947368421,152,0.2733585858585858,0.24558080808080807,0.24431818181818177,0.23674242424242423,132
gemma3-12b,hotpotqa,0.412109375,0.4095052083333333,0.3841145833333333,0.3984375,0.3175355450236967,0.24644549763033174,0.1895734597156398,0.24644549763033174,211,0.27777777777777785,0.24904214559386975,0.21934865900383144,0.25383141762452116,174
qwen3-4b,musique,0.09309895833333333,0.08984375,0.10546875,0.08919270833333333,0.24285714285714285,0.2571428571428571,0.3142857142857143,0.18571428571428572,140,0.24363867684478369,0.25,0.3097964376590331,0.19656488549618323,131
qwen3-8b,musique,0.12174479166666667,0.12565104166666666,0.12174479166666667,0.12239583333333333,0.26,0.25333333333333335,0.24666666666666667,0.24,150,0.2504930966469428,0.27416173570019725,0.23372781065088757,0.24161735700197248,169
gemma3-12b,musique,0.1953125,0.18489583333333334,0.1953125,0.20247395833333334,0.2600896860986547,0.25112107623318386,0.24663677130044842,0.242152466367713,223,0.2595628415300547,0.27322404371584696,0.23315118397085605,0.23406193078324228,183
qwen3-4b,gaia,0.15857605177993525,0.1197411003236246,0.1035598705501618,0.1715210355987055,0.3684210526315789,0.13157894736842105,0.02631578947368421,0.47368421052631576,38,0.3225806451612903,0.11827956989247311,0.11827956989247311,0.4408602150537635,31
qwen3-8b,gaia,0.11003236245954694,0.1262135922330097,0.09385113268608414,0.13592233009708737,0.22916666666666666,0.3125,0.125,0.3333333333333333,48,0.2117117117117117,0.2972972972972973,0.17117117117117117,0.31981981981981983,37
gemma3-12b,gaia,0.13592233009708737,0.17475728155339806,0.13915857605177995,0.1423948220064725,0.22950819672131148,0.4098360655737705,0.21311475409836064,0.14754098360655737,61,0.25225225225225223,0.3558558558558559,0.1846846846846847,0.20720720720720723,37
