turn,naive_mean,naive_sem,div_mean,div_sem
1,0.3873,0.0215,0.7520,0.0114
2,0.4871,0.0193,0.5674,0.0183
3,0.5038,0.0202,0.5734,0.0177
4,0.5063,0.0257,0.5506,0.0246
5,0.4772,0.0458,0.5057,0.0438
