# T3 paper diagnostic metrics — all per-run scalars from summary_T*.csv (read, not recomputed)
# Source: webwalkerqa/run/run_main_table.py compute_qpd / compute_itc / compute_atc
# QPD = Query Pairwise Diversity: mean Jaccard distance over all pairs of turn-1 queries across the k threads (per question, then averaged over questions)
# ITC = Inter-Turn Coherence: per thread, mean Jaccard similarity of turn-1 query vs each later turn's query; averaged over threads then questions
# ATC = Across-Thread Coherence (despite the name, this is a DISTANCE): per turn, mean pairwise Jaccard distance between threads' queries; averaged across turns and questions
# Sequential (k=1) writes 0.0 for all three metrics by construction (no pair to compare).
model,dataset,condition,k,seed,num_questions,QPD,ITC,ATC,source_dir
gemma3-4b,bamboogle,diversity_parallel,8,2,125,0.9133961920000004,0.2117585440000001,0.8106772959999999,main_table_clueweb_t8/gemma3-4b/bamboogle/div_k8/run_2
gemma3-4b,bamboogle,diversity_parallel,8,3,125,0.8991238719999999,0.2210735359999999,0.8027239760000001,main_table_clueweb_t8/gemma3-4b/bamboogle/div_k8/run_3
gemma3-4b,bamboogle,naive_parallel,4,1,125,0.180779112,0.359791328,0.3382795280000001,main_table_clueweb_t8/gemma3-4b/bamboogle/naive_k4/run_1
gemma3-4b,bamboogle,naive_parallel,4,2,125,0.194565568,0.3247219200000001,0.3575006800000001,main_table_clueweb_t8/gemma3-4b/bamboogle/naive_k4/run_2
gemma3-4b,bamboogle,naive_parallel,4,3,125,0.147847104,0.329277856,0.3110377360000001,main_table_clueweb_t8/gemma3-4b/bamboogle/naive_k4/run_3
gemma3-4b,bamboogle,naive_parallel,8,1,125,0.176128184,0.3678806400000001,0.39018164,main_table_clueweb_t8/gemma3-4b/bamboogle/naive_k8/run_1
gemma3-4b,bamboogle,naive_parallel,8,2,125,0.177994136,0.3740927040000001,0.3860330720000003,main_table_clueweb_t8/gemma3-4b/bamboogle/naive_k8/run_2
gemma3-4b,bamboogle,naive_parallel,8,3,125,0.168516496,0.3692686639999999,0.327264376,main_table_clueweb_t8/gemma3-4b/bamboogle/naive_k8/run_3
gemma3-4b,bamboogle,sequential,1,1,125,0.0,0.0,0.0,main_table_clueweb_t8/gemma3-4b/bamboogle/seq/run_1
gemma3-4b,bamboogle,sequential,1,2,125,0.0,0.0,0.0,main_table_clueweb_t8/gemma3-4b/bamboogle/seq/run_2
gemma3-4b,bamboogle,sequential,1,3,125,0.0,0.0,0.0,main_table_clueweb_t8/gemma3-4b/bamboogle/seq/run_3
gemma3-4b,frames,diversity_parallel,4,1,824,0.9259576844660198,0.240446691747573,0.784027929611651,main_table_clueweb_t8/gemma3-4b/frames/div_k4/run_1
gemma3-4b,frames,diversity_parallel,4,2,824,0.9247952779126216,0.2439632184466022,0.7771403883495145,main_table_clueweb_t8/gemma3-4b/frames/div_k4/run_2
gemma3-4b,frames,diversity_parallel,4,3,824,0.926451542475728,0.2414183810679613,0.7795826165048544,main_table_clueweb_t8/gemma3-4b/frames/div_k4/run_3
gemma3-4b,frames,diversity_parallel,8,1,824,0.8838070485436891,0.2428175873786408,0.7585268361650486,main_table_clueweb_t8/gemma3-4b/frames/div_k8/run_1
gemma3-4b,frames,diversity_parallel,8,2,824,0.883310165048543,0.2463058349514563,0.7586267063106811,main_table_clueweb_t8/gemma3-4b/frames/div_k8/run_2
gemma3-4b,frames,diversity_parallel,8,3,824,0.8846144053398063,0.2455136262135921,0.7621363446601938,main_table_clueweb_t8/gemma3-4b/frames/div_k8/run_3
gemma3-4b,frames,naive_parallel,4,1,824,0.2429345618932038,0.4331899854368936,0.4261855194174759,main_table_clueweb_t8/gemma3-4b/frames/naive_k4/run_1
gemma3-4b,frames,naive_parallel,4,2,824,0.2481856480582519,0.4378323470873786,0.4330014502427185,main_table_clueweb_t8/gemma3-4b/frames/naive_k4/run_2
gemma3-4b,frames,naive_parallel,4,3,824,0.2433665230582522,0.4341512682038838,0.4255801177184466,main_table_clueweb_t8/gemma3-4b/frames/naive_k4/run_3
gemma3-4b,frames,naive_parallel,8,1,824,0.2459649126213591,0.4393063349514563,0.436645055825243,main_table_clueweb_t8/gemma3-4b/frames/naive_k8/run_1
gemma3-4b,frames,naive_parallel,8,2,824,0.2457076541262134,0.442181169902912,0.4331997645631064,main_table_clueweb_t8/gemma3-4b/frames/naive_k8/run_2
gemma3-4b,frames,naive_parallel,8,3,824,0.2442949830097087,0.4384407451456312,0.4288925242718448,main_table_clueweb_t8/gemma3-4b/frames/naive_k8/run_3
gemma3-4b,frames,sequential,1,1,824,0.0,0.0,0.0,main_table_clueweb_t8/gemma3-4b/frames/seq/run_1
gemma3-4b,frames,sequential,1,2,824,0.0,0.0,0.0,main_table_clueweb_t8/gemma3-4b/frames/seq/run_2
gemma3-4b,frames,sequential,1,3,824,0.0,0.0,0.0,main_table_clueweb_t8/gemma3-4b/frames/seq/run_3
gemma3-4b,hle,diversity_parallel,4,1,500,0.911263121999999,0.290943372,0.7773658880000002,main_table_clueweb_t8/gemma3-4b/hle/div_k4/run_1
gemma3-4b,hle,diversity_parallel,4,2,500,0.911416746,0.3061091600000001,0.7833842040000001,main_table_clueweb_t8/gemma3-4b/hle/div_k4/run_2
gemma3-4b,hle,diversity_parallel,4,3,500,0.909612716000001,0.3053032400000001,0.7788333540000003,main_table_clueweb_t8/gemma3-4b/hle/div_k4/run_3
gemma3-4b,hle,diversity_parallel,8,1,500,0.8716692179999997,0.3130528379999999,0.7552213819999998,main_table_clueweb_t8/gemma3-4b/hle/div_k8/run_1
gemma3-4b,hle,diversity_parallel,8,2,500,0.8669424420000003,0.3187881499999999,0.7472884380000004,main_table_clueweb_t8/gemma3-4b/hle/div_k8/run_2
gemma3-4b,hle,diversity_parallel,8,3,500,0.8706403239999989,0.3001241819999999,0.7538341500000004,main_table_clueweb_t8/gemma3-4b/hle/div_k8/run_3
gemma3-4b,hle,naive_parallel,4,1,500,0.3331155759999998,0.5246826500000001,0.4530601980000001,main_table_clueweb_t8/gemma3-4b/hle/naive_k4/run_1
gemma3-4b,hle,naive_parallel,4,2,500,0.3213177139999996,0.5137501319999997,0.4535192260000003,main_table_clueweb_t8/gemma3-4b/hle/naive_k4/run_2
gemma3-4b,hle,naive_parallel,4,3,500,0.3361161719999999,0.5216017519999998,0.4570765939999998,main_table_clueweb_t8/gemma3-4b/hle/naive_k4/run_3
gemma3-4b,hle,naive_parallel,8,1,500,0.3329825360000003,0.5348573760000002,0.4557739199999997,main_table_clueweb_t8/gemma3-4b/hle/naive_k8/run_1
gemma3-4b,hle,naive_parallel,8,2,500,0.3271971899999999,0.5323419720000001,0.4584167139999996,main_table_clueweb_t8/gemma3-4b/hle/naive_k8/run_2
gemma3-4b,hle,naive_parallel,8,3,500,0.3356351520000001,0.533873898,0.4572537660000002,main_table_clueweb_t8/gemma3-4b/hle/naive_k8/run_3
gemma3-4b,hle,sequential,1,1,500,0.0,0.0,0.0,main_table_clueweb_t8/gemma3-4b/hle/seq/run_1
gemma3-4b,hle,sequential,1,2,500,0.0,0.0,0.0,main_table_clueweb_t8/gemma3-4b/hle/seq/run_2
gemma3-4b,hle,sequential,1,3,500,0.0,0.0,0.0,main_table_clueweb_t8/gemma3-4b/hle/seq/run_3
gemma3-4b,hotpotqa,diversity_parallel,4,1,512,0.9171937246093752,0.007345146484375,0.9171937246093752,main_table_clueweb_t8/gemma3-4b/hotpotqa/div_k4/run_1
gemma3-4b,hotpotqa,diversity_parallel,4,2,512,0.919283328125,0.004590380859375,0.919283328125,main_table_clueweb_t8/gemma3-4b/hotpotqa/div_k4/run_2
gemma3-4b,hotpotqa,diversity_parallel,4,3,512,0.9195459355468752,0.003252109375,0.9195459355468752,main_table_clueweb_t8/gemma3-4b/hotpotqa/div_k4/run_3
gemma3-4b,hotpotqa,diversity_parallel,8,1,512,0.8715989843749996,0.019618107421875,0.8716010410156246,main_table_clueweb_t8/gemma3-4b/hotpotqa/div_k8/run_1
gemma3-4b,hotpotqa,diversity_parallel,8,2,512,0.8751380664062498,0.01895548828125,0.8751380664062498,main_table_clueweb_t8/gemma3-4b/hotpotqa/div_k8/run_2
gemma3-4b,hotpotqa,diversity_parallel,8,3,512,0.8743588750000008,0.0220966386718749,0.8742877265625008,main_table_clueweb_t8/gemma3-4b/hotpotqa/div_k8/run_3
gemma3-4b,hotpotqa,naive_parallel,4,1,512,0.0,0.000651041015625,0.0,main_table_clueweb_t8/gemma3-4b/hotpotqa/naive_k4/run_1
gemma3-4b,hotpotqa,naive_parallel,4,2,512,0.0,0.0,0.0,main_table_clueweb_t8/gemma3-4b/hotpotqa/naive_k4/run_2
gemma3-4b,hotpotqa,naive_parallel,4,3,512,0.0,0.0001953125,0.0,main_table_clueweb_t8/gemma3-4b/hotpotqa/naive_k4/run_3
gemma3-4b,hotpotqa,naive_parallel,8,1,512,0.001929875,0.0008680546875,0.001929875,main_table_clueweb_t8/gemma3-4b/hotpotqa/naive_k8/run_1
gemma3-4b,hotpotqa,naive_parallel,8,2,512,0.0,0.0,0.0,main_table_clueweb_t8/gemma3-4b/hotpotqa/naive_k8/run_2
gemma3-4b,hotpotqa,naive_parallel,8,3,512,0.002197265625,0.0,0.002197265625,main_table_clueweb_t8/gemma3-4b/hotpotqa/naive_k8/run_3
gemma3-4b,hotpotqa,sequential,1,1,512,0.0,0.0,0.0,main_table_clueweb_t8/gemma3-4b/hotpotqa/seq/run_1
gemma3-4b,hotpotqa,sequential,1,2,512,0.0,0.0,0.0,main_table_clueweb_t8/gemma3-4b/hotpotqa/seq/run_2
gemma3-4b,hotpotqa,sequential,1,3,512,0.0,0.0,0.0,main_table_clueweb_t8/gemma3-4b/hotpotqa/seq/run_3
gemma3-4b,musique,diversity_parallel,4,1,512,0.9247380605468756,0.2198053847656249,0.827008234374999,main_table_clueweb_t8/gemma3-4b/musique/div_k4/run_1
gemma3-4b,musique,diversity_parallel,4,2,512,0.9225080410156248,0.2160992890625,0.8227556367187504,main_table_clueweb_t8/gemma3-4b/musique/div_k4/run_2
gemma3-4b,musique,diversity_parallel,4,3,512,0.9232738906249992,0.221369775390625,0.8182006113281257,main_table_clueweb_t8/gemma3-4b/musique/div_k4/run_3
gemma3-4b,musique,diversity_parallel,8,1,512,0.8874232988281245,0.2236566191406249,0.8020607617187497,main_table_clueweb_t8/gemma3-4b/musique/div_k8/run_1
gemma3-4b,musique,diversity_parallel,8,2,512,0.883658673828125,0.2278545820312501,0.8010378457031256,main_table_clueweb_t8/gemma3-4b/musique/div_k8/run_2
gemma3-4b,musique,diversity_parallel,8,3,512,0.8865819238281247,0.2204671503906249,0.8005007148437495,main_table_clueweb_t8/gemma3-4b/musique/div_k8/run_3
gemma3-4b,musique,naive_parallel,4,1,512,0.228485296875,0.3633966679687502,0.4403039667968749,main_table_clueweb_t8/gemma3-4b/musique/naive_k4/run_1
gemma3-4b,musique,naive_parallel,4,2,512,0.2423573359374998,0.3609050703125001,0.4420688945312501,main_table_clueweb_t8/gemma3-4b/musique/naive_k4/run_2
gemma3-4b,musique,naive_parallel,4,3,512,0.2491476992187499,0.3631025683593749,0.4409256835937499,main_table_clueweb_t8/gemma3-4b/musique/naive_k4/run_3
gemma3-4b,musique,naive_parallel,8,1,512,0.248586109375,0.4355074218750003,0.503648720703125,main_table_clueweb_t8/gemma3-4b/musique/naive_k8/run_1
gemma3-4b,musique,naive_parallel,8,2,512,0.2476477988281249,0.4362637011718745,0.4975265722656246,main_table_clueweb_t8/gemma3-4b/musique/naive_k8/run_2
gemma3-4b,musique,naive_parallel,8,3,512,0.2502015546875,0.3694728125000001,0.4492389140625001,main_table_clueweb_t8/gemma3-4b/musique/naive_k8/run_3
gemma3-4b,musique,sequential,1,1,512,0.0,0.0,0.0,main_table_clueweb_t8/gemma3-4b/musique/seq/run_1
gemma3-4b,musique,sequential,1,2,512,0.0,0.0,0.0,main_table_clueweb_t8/gemma3-4b/musique/seq/run_2
gemma3-4b,musique,sequential,1,3,512,0.0,0.0,0.0,main_table_clueweb_t8/gemma3-4b/musique/seq/run_3
qwen3-1.7b,2wikimultihopqa,diversity_parallel,4,1,512,0.63820348828125,0.4160077656249998,0.621094380859375,main_table_clueweb_t8/qwen3-1.7b/2wikimultihopqa/div_k4/run_1
qwen3-1.7b,2wikimultihopqa,diversity_parallel,4,2,512,0.6358657695312493,0.4306479160156248,0.622305173828125,main_table_clueweb_t8/qwen3-1.7b/2wikimultihopqa/div_k4/run_2
qwen3-1.7b,2wikimultihopqa,diversity_parallel,4,3,512,0.6347683066406249,0.4154243710937499,0.6160009980468745,main_table_clueweb_t8/qwen3-1.7b/2wikimultihopqa/div_k4/run_3
qwen3-1.7b,2wikimultihopqa,diversity_parallel,8,1,512,0.57303840234375,0.5159814335937499,0.5601763984375002,main_table_clueweb_t8/qwen3-1.7b/2wikimultihopqa/div_k8/run_1
qwen3-1.7b,2wikimultihopqa,diversity_parallel,8,2,512,0.569768078125001,0.5119657148437501,0.5554419687500002,main_table_clueweb_t8/qwen3-1.7b/2wikimultihopqa/div_k8/run_2
qwen3-1.7b,2wikimultihopqa,diversity_parallel,8,3,512,0.5734790683593755,0.5349082246093756,0.5611552539062503,main_table_clueweb_t8/qwen3-1.7b/2wikimultihopqa/div_k8/run_3
qwen3-1.7b,2wikimultihopqa,naive_parallel,4,1,512,0.25721266796875,0.376448498046875,0.2572035312499999,main_table_clueweb_t8/qwen3-1.7b/2wikimultihopqa/naive_k4/run_1
qwen3-1.7b,2wikimultihopqa,naive_parallel,4,2,512,0.2707666874999999,0.377777912109375,0.2691882753906248,main_table_clueweb_t8/qwen3-1.7b/2wikimultihopqa/naive_k4/run_2
qwen3-1.7b,2wikimultihopqa,naive_parallel,4,3,512,0.2446386640624999,0.381211404296875,0.2467245722656249,main_table_clueweb_t8/qwen3-1.7b/2wikimultihopqa/naive_k4/run_3
qwen3-1.7b,2wikimultihopqa,naive_parallel,8,1,512,0.3580423281250002,0.510485294921875,0.3599804140624999,main_table_clueweb_t8/qwen3-1.7b/2wikimultihopqa/naive_k8/run_1
qwen3-1.7b,2wikimultihopqa,naive_parallel,8,2,512,0.3601805527343748,0.5235698339843752,0.3627140917968751,main_table_clueweb_t8/qwen3-1.7b/2wikimultihopqa/naive_k8/run_2
qwen3-1.7b,2wikimultihopqa,naive_parallel,8,3,512,0.3322013906249997,0.4955368984374997,0.3292676621093747,main_table_clueweb_t8/qwen3-1.7b/2wikimultihopqa/naive_k8/run_3
qwen3-1.7b,2wikimultihopqa,sequential,1,1,512,0.0,0.0,0.0,main_table_clueweb_t8/qwen3-1.7b/2wikimultihopqa/seq/run_1
qwen3-1.7b,2wikimultihopqa,sequential,1,2,512,0.0,0.0,0.0,main_table_clueweb_t8/qwen3-1.7b/2wikimultihopqa/seq/run_2
qwen3-1.7b,2wikimultihopqa,sequential,1,3,512,0.0,0.0,0.0,main_table_clueweb_t8/qwen3-1.7b/2wikimultihopqa/seq/run_3
qwen3-1.7b,GAIA,diversity_parallel,4,1,103,0.5311880970873786,0.6674260582524271,0.5105684271844659,main_table_clueweb_t8/qwen3-1.7b/GAIA/div_k4/run_1
qwen3-1.7b,GAIA,diversity_parallel,4,2,103,0.5290459902912622,0.6100780291262135,0.4984328932038834,main_table_clueweb_t8/qwen3-1.7b/GAIA/div_k4/run_2
qwen3-1.7b,GAIA,diversity_parallel,4,3,103,0.5451584077669903,0.6118450097087381,0.5112500194174758,main_table_clueweb_t8/qwen3-1.7b/GAIA/div_k4/run_3
qwen3-1.7b,GAIA,diversity_parallel,8,1,103,0.4901735631067959,0.6664240970873788,0.4661869417475727,main_table_clueweb_t8/qwen3-1.7b/GAIA/div_k8/run_1
qwen3-1.7b,GAIA,diversity_parallel,8,2,103,0.4916593203883495,0.6460096310679613,0.4715473398058252,main_table_clueweb_t8/qwen3-1.7b/GAIA/div_k8/run_2
qwen3-1.7b,GAIA,diversity_parallel,8,3,103,0.4861492524271845,0.6884632330097088,0.4683646116504854,main_table_clueweb_t8/qwen3-1.7b/GAIA/div_k8/run_3
qwen3-1.7b,GAIA,naive_parallel,4,1,103,0.2824788446601941,0.7225292135922332,0.2907838737864077,main_table_clueweb_t8/qwen3-1.7b/GAIA/naive_k4/run_1
qwen3-1.7b,GAIA,naive_parallel,4,2,103,0.2917150485436894,0.7514666893203882,0.2979850485436893,main_table_clueweb_t8/qwen3-1.7b/GAIA/naive_k4/run_2
qwen3-1.7b,GAIA,naive_parallel,4,3,103,0.2691060485436893,0.7559584854368931,0.2719782912621359,main_table_clueweb_t8/qwen3-1.7b/GAIA/naive_k4/run_3
qwen3-1.7b,GAIA,naive_parallel,8,1,103,0.2780028155339806,0.7620337669902914,0.2810073689320388,main_table_clueweb_t8/qwen3-1.7b/GAIA/naive_k8/run_1
qwen3-1.7b,GAIA,naive_parallel,8,2,103,0.2840817475728155,0.7964007087378641,0.2879202427184465,main_table_clueweb_t8/qwen3-1.7b/GAIA/naive_k8/run_2
qwen3-1.7b,GAIA,naive_parallel,8,3,103,0.2769078543689321,0.8009616796116504,0.2819077087378641,main_table_clueweb_t8/qwen3-1.7b/GAIA/naive_k8/run_3
qwen3-1.7b,GAIA,sequential,1,1,103,0.0,0.0,0.0,main_table_clueweb_t8/qwen3-1.7b/GAIA/seq/run_1
qwen3-1.7b,GAIA,sequential,1,2,103,0.0,0.0,0.0,main_table_clueweb_t8/qwen3-1.7b/GAIA/seq/run_2
qwen3-1.7b,GAIA,sequential,1,3,103,0.0,0.0,0.0,main_table_clueweb_t8/qwen3-1.7b/GAIA/seq/run_3
qwen3-1.7b,bamboogle,diversity_parallel,4,1,125,0.6191957200000002,0.497927848,0.53063824,main_table_clueweb_t8/qwen3-1.7b/bamboogle/div_k4/run_1
qwen3-1.7b,bamboogle,diversity_parallel,4,2,125,0.612494768,0.4589048239999999,0.5164714400000002,main_table_clueweb_t8/qwen3-1.7b/bamboogle/div_k4/run_2
qwen3-1.7b,bamboogle,diversity_parallel,4,3,125,0.6087781600000003,0.47481472,0.5294516319999998,main_table_clueweb_t8/qwen3-1.7b/bamboogle/div_k4/run_3
qwen3-1.7b,bamboogle,diversity_parallel,8,1,125,0.5586752079999998,0.514429512,0.4772862479999998,main_table_clueweb_t8/qwen3-1.7b/bamboogle/div_k8/run_1
qwen3-1.7b,bamboogle,diversity_parallel,8,2,125,0.54988672,0.5238960960000002,0.472662384,main_table_clueweb_t8/qwen3-1.7b/bamboogle/div_k8/run_2
qwen3-1.7b,bamboogle,diversity_parallel,8,3,125,0.5489970640000001,0.5074523040000001,0.4719265759999999,main_table_clueweb_t8/qwen3-1.7b/bamboogle/div_k8/run_3
qwen3-1.7b,bamboogle,naive_parallel,4,1,125,0.2057509999999999,0.7172746000000003,0.2119640639999999,main_table_clueweb_t8/qwen3-1.7b/bamboogle/naive_k4/run_1
qwen3-1.7b,bamboogle,naive_parallel,4,2,125,0.2066946719999999,0.7046194959999998,0.211377512,main_table_clueweb_t8/qwen3-1.7b/bamboogle/naive_k4/run_2
qwen3-1.7b,bamboogle,naive_parallel,4,3,125,0.189882432,0.7311703120000002,0.1954115439999999,main_table_clueweb_t8/qwen3-1.7b/bamboogle/naive_k4/run_3
qwen3-1.7b,bamboogle,naive_parallel,8,1,125,0.203438928,0.8152544800000002,0.20881732,main_table_clueweb_t8/qwen3-1.7b/bamboogle/naive_k8/run_1
qwen3-1.7b,bamboogle,naive_parallel,8,2,125,0.2030133999999999,0.7746742159999999,0.1970259199999999,main_table_clueweb_t8/qwen3-1.7b/bamboogle/naive_k8/run_2
qwen3-1.7b,bamboogle,naive_parallel,8,3,125,0.19673284,0.7763061039999999,0.1951576399999999,main_table_clueweb_t8/qwen3-1.7b/bamboogle/naive_k8/run_3
qwen3-1.7b,bamboogle,sequential,1,1,125,0.0,0.0,0.0,main_table_clueweb_t8/qwen3-1.7b/bamboogle/seq/run_1
qwen3-1.7b,bamboogle,sequential,1,2,125,0.0,0.0,0.0,main_table_clueweb_t8/qwen3-1.7b/bamboogle/seq/run_2
qwen3-1.7b,bamboogle,sequential,1,3,125,0.0,0.0,0.0,main_table_clueweb_t8/qwen3-1.7b/bamboogle/seq/run_3
qwen3-1.7b,frames,diversity_parallel,4,1,824,0.5345957524271846,0.541750080097087,0.5036444660194178,main_table_clueweb_t8/qwen3-1.7b/frames/div_k4/run_1
qwen3-1.7b,frames,diversity_parallel,4,2,824,0.5269463288834951,0.5318083750000002,0.4970121371359224,main_table_clueweb_t8/qwen3-1.7b/frames/div_k4/run_2
qwen3-1.7b,frames,diversity_parallel,4,3,824,0.5265415376213595,0.5404692803398061,0.4945373774271843,main_table_clueweb_t8/qwen3-1.7b/frames/div_k4/run_3
qwen3-1.7b,frames,diversity_parallel,8,1,824,0.4667410885922331,0.5776579174757284,0.4484901201456316,main_table_clueweb_t8/qwen3-1.7b/frames/div_k8/run_1
qwen3-1.7b,frames,diversity_parallel,8,2,824,0.465302728155339,0.5809145157766986,0.4460825157766985,main_table_clueweb_t8/qwen3-1.7b/frames/div_k8/run_2
qwen3-1.7b,frames,diversity_parallel,8,3,824,0.4610335679611643,0.5947947706310676,0.4415580570388345,main_table_clueweb_t8/qwen3-1.7b/frames/div_k8/run_3
qwen3-1.7b,frames,naive_parallel,4,1,824,0.2744910788834951,0.6697701067961164,0.2838133883495146,main_table_clueweb_t8/qwen3-1.7b/frames/naive_k4/run_1
qwen3-1.7b,frames,naive_parallel,4,2,824,0.2806238264563108,0.6744688713592227,0.2938895764563108,main_table_clueweb_t8/qwen3-1.7b/frames/naive_k4/run_2
qwen3-1.7b,frames,naive_parallel,4,3,824,0.2763143652912622,0.6707114696601943,0.2877027475728156,main_table_clueweb_t8/qwen3-1.7b/frames/naive_k4/run_3
qwen3-1.7b,frames,naive_parallel,8,1,824,0.2757845521844659,0.6992859781553392,0.2861715618932038,main_table_clueweb_t8/qwen3-1.7b/frames/naive_k8/run_1
qwen3-1.7b,frames,naive_parallel,8,2,824,0.2829985133495147,0.7151966516990291,0.2949335570388351,main_table_clueweb_t8/qwen3-1.7b/frames/naive_k8/run_2
qwen3-1.7b,frames,naive_parallel,8,3,824,0.2789411808252425,0.7174472427184462,0.2876427014563104,main_table_clueweb_t8/qwen3-1.7b/frames/naive_k8/run_3
qwen3-1.7b,frames,sequential,1,1,824,0.0,0.0,0.0,main_table_clueweb_t8/qwen3-1.7b/frames/seq/run_1
qwen3-1.7b,frames,sequential,1,2,824,0.0,0.0,0.0,main_table_clueweb_t8/qwen3-1.7b/frames/seq/run_2
qwen3-1.7b,frames,sequential,1,3,824,0.0,0.0,0.0,main_table_clueweb_t8/qwen3-1.7b/frames/seq/run_3
qwen3-1.7b,hle,diversity_parallel,4,1,500,0.6798045580000001,0.3560074480000001,0.6565538959999998,main_table_clueweb_t8/qwen3-1.7b/hle/div_k4/run_1
qwen3-1.7b,hle,diversity_parallel,4,2,500,0.6847585299999992,0.3628759419999999,0.6594320719999995,main_table_clueweb_t8/qwen3-1.7b/hle/div_k4/run_2
qwen3-1.7b,hle,diversity_parallel,4,3,500,0.6840017719999991,0.376059374,0.6596476879999993,main_table_clueweb_t8/qwen3-1.7b/hle/div_k4/run_3
qwen3-1.7b,hle,diversity_parallel,8,1,500,0.6369804919999998,0.4012137979999999,0.618015162,main_table_clueweb_t8/qwen3-1.7b/hle/div_k8/run_1
qwen3-1.7b,hle,diversity_parallel,8,2,500,0.6313996780000013,0.4189862339999999,0.6117916800000005,main_table_clueweb_t8/qwen3-1.7b/hle/div_k8/run_2
qwen3-1.7b,hle,diversity_parallel,8,3,500,0.6186376819999998,0.4301311119999997,0.5999005860000004,main_table_clueweb_t8/qwen3-1.7b/hle/div_k8/run_3
qwen3-1.7b,hle,naive_parallel,4,1,500,0.236963516,0.4451691619999999,0.2348107879999998,main_table_clueweb_t8/qwen3-1.7b/hle/naive_k4/run_1
qwen3-1.7b,hle,naive_parallel,4,2,500,0.235447022,0.4670191060000002,0.2348286659999999,main_table_clueweb_t8/qwen3-1.7b/hle/naive_k4/run_2
qwen3-1.7b,hle,naive_parallel,4,3,500,0.2390918019999999,0.4759263700000002,0.2390392639999999,main_table_clueweb_t8/qwen3-1.7b/hle/naive_k4/run_3
qwen3-1.7b,hle,naive_parallel,8,1,500,0.2770335419999999,0.5275061600000002,0.2758468440000002,main_table_clueweb_t8/qwen3-1.7b/hle/naive_k8/run_1
qwen3-1.7b,hle,naive_parallel,8,2,500,0.2766042179999998,0.5160037120000001,0.275340156,main_table_clueweb_t8/qwen3-1.7b/hle/naive_k8/run_2
qwen3-1.7b,hle,naive_parallel,8,3,500,0.2861507060000001,0.54327813,0.2857148360000002,main_table_clueweb_t8/qwen3-1.7b/hle/naive_k8/run_3
qwen3-1.7b,hle,sequential,1,1,500,0.0,0.0,0.0,main_table_clueweb_t8/qwen3-1.7b/hle/seq/run_1
qwen3-1.7b,hle,sequential,1,2,500,0.0,0.0,0.0,main_table_clueweb_t8/qwen3-1.7b/hle/seq/run_2
qwen3-1.7b,hle,sequential,1,3,500,0.0,0.0,0.0,main_table_clueweb_t8/qwen3-1.7b/hle/seq/run_3
qwen3-1.7b,hotpotqa,diversity_parallel,4,1,512,0.6172578320312503,0.4235890820312499,0.6134020527343755,main_table_clueweb_t8/qwen3-1.7b/hotpotqa/div_k4/run_1
qwen3-1.7b,hotpotqa,diversity_parallel,4,2,512,0.6111493261718746,0.4124423593749997,0.6029809042968749,main_table_clueweb_t8/qwen3-1.7b/hotpotqa/div_k4/run_2
qwen3-1.7b,hotpotqa,diversity_parallel,4,3,512,0.6147199609374998,0.4356145429687498,0.60777837109375,main_table_clueweb_t8/qwen3-1.7b/hotpotqa/div_k4/run_3
qwen3-1.7b,hotpotqa,diversity_parallel,8,1,512,0.5570231972656247,0.5276655605468749,0.5493644609374999,main_table_clueweb_t8/qwen3-1.7b/hotpotqa/div_k8/run_1
qwen3-1.7b,hotpotqa,diversity_parallel,8,2,512,0.5589063007812501,0.518122158203125,0.5526464355468751,main_table_clueweb_t8/qwen3-1.7b/hotpotqa/div_k8/run_2
qwen3-1.7b,hotpotqa,diversity_parallel,8,3,512,0.5553459726562497,0.5081439082031248,0.5472367109375004,main_table_clueweb_t8/qwen3-1.7b/hotpotqa/div_k8/run_3
qwen3-1.7b,hotpotqa,naive_parallel,4,1,512,0.29739250390625,0.34138952734375,0.29587145703125,main_table_clueweb_t8/qwen3-1.7b/hotpotqa/naive_k4/run_1
qwen3-1.7b,hotpotqa,naive_parallel,4,2,512,0.324057130859375,0.3579473945312501,0.323640607421875,main_table_clueweb_t8/qwen3-1.7b/hotpotqa/naive_k4/run_2
qwen3-1.7b,hotpotqa,naive_parallel,4,3,512,0.312617517578125,0.3547211875,0.3122628886718749,main_table_clueweb_t8/qwen3-1.7b/hotpotqa/naive_k4/run_3
qwen3-1.7b,hotpotqa,naive_parallel,8,1,512,0.4038559218749997,0.4990685410156251,0.4023176660156246,main_table_clueweb_t8/qwen3-1.7b/hotpotqa/naive_k8/run_1
qwen3-1.7b,hotpotqa,naive_parallel,8,2,512,0.4010669042968749,0.505666265625,0.3961247519531251,main_table_clueweb_t8/qwen3-1.7b/hotpotqa/naive_k8/run_2
qwen3-1.7b,hotpotqa,naive_parallel,8,3,512,0.4148269511718752,0.4712085253906251,0.4107381542968753,main_table_clueweb_t8/qwen3-1.7b/hotpotqa/naive_k8/run_3
qwen3-1.7b,hotpotqa,sequential,1,1,512,0.0,0.0,0.0,main_table_clueweb_t8/qwen3-1.7b/hotpotqa/seq/run_1
qwen3-1.7b,hotpotqa,sequential,1,2,512,0.0,0.0,0.0,main_table_clueweb_t8/qwen3-1.7b/hotpotqa/seq/run_2
qwen3-1.7b,hotpotqa,sequential,1,3,512,0.0,0.0,0.0,main_table_clueweb_t8/qwen3-1.7b/hotpotqa/seq/run_3
