# T3 paper plot-ready diagnostic metrics — per-seed, both groups in one file
# group: mhqa = ClueWeb runs on hotpotqa/musique/2wiki/bamboogle/frames (5 datasets × 5 models)
#        reasoning = Serper runs on gaia/hle/webwalker (3 datasets × 4 models)
# condition: naive_k4 | div_k4 | naive_k8 | div_k8 (k=4 or k=8 parallel only)
# seeds: 1, 2, 3 (consistent across cells; older 5-seed runs trimmed for fair error bars)
# Paper-facing rename (from metric_names.txt): QPD, ITC, ATC column = ATD
group,model,dataset,condition,k,seed,num_questions,QPD,ITC,ATC
mhqa,gemma3-12b,musique,div_k8,8,3,512,0.8500903574218753,0.1493046093750001,0.7774422402343751
mhqa,gemma3-12b,musique,naive_k4,4,1,512,0.222835314453125,0.1740860878906249,0.4221151210937501
mhqa,gemma3-12b,musique,naive_k4,4,2,512,0.22497986328125,0.1710740371093749,0.4297715312500005
mhqa,gemma3-12b,musique,naive_k4,4,3,512,0.2198552734375002,0.169778134765625,0.4167763105468749
mhqa,gemma3-12b,musique,naive_k8,8,1,512,0.2218494042968749,0.174464564453125,0.4262305234375
mhqa,gemma3-12b,musique,naive_k8,8,2,512,0.2180345546875,0.1726212187499998,0.4259399023437495
mhqa,gemma3-12b,musique,naive_k8,8,3,512,0.2249310039062501,0.1722605761718751,0.4273558144531251
mhqa,gemma3-4b,2wikimultihopqa,div_k4,4,1,512,0.9114873906249998,0.001743451171875,0.9114873906249998
mhqa,gemma3-4b,2wikimultihopqa,div_k4,4,2,512,0.9106962285156244,0.0,0.9106962285156244
mhqa,gemma3-4b,2wikimultihopqa,div_k4,4,3,512,0.9089140898437504,0.006615046875,0.9089140898437504
mhqa,gemma3-4b,2wikimultihopqa,div_k8,8,1,512,0.8604303183593751,0.024266556640625,0.8604303183593751
mhqa,gemma3-4b,2wikimultihopqa,div_k8,8,2,512,0.8630029707031247,0.018755607421875,0.8630029707031247
mhqa,gemma3-4b,2wikimultihopqa,div_k8,8,3,512,0.862539453125,0.0241537734374999,0.862539453125
mhqa,gemma3-4b,2wikimultihopqa,naive_k4,4,1,512,0.0,0.0,0.0
mhqa,gemma3-4b,2wikimultihopqa,naive_k4,4,2,512,0.0,0.0,0.0
